TYPE,ISTITLE,TOPIC
5,0,Children need to have access to free schooling. 
5,0,Computer equipment could be donated. 
5,0,The Internet can expose students to a world of knowledge and information. 
5,0,Governments should make education compulsory for all children. 
5,0,They should encourage parents to send their children to school. 
5,0,Governments of developed and developing countries must work together.
5,1,Higher Education: Advantages (also see “Benefits of Education”)
5,0,There are many benefits to going to university. 
5,0,A degree can open the door to better employment prospects. 
5,0,Economies are becoming increasingly knowledge-based. 
5,0,Most jobs require specific knowledge and skills. 
5,0,Skilled workers are needed for sectors such as information technology and engineering. 
5,0,Repetitive manual jobs are now done by machines. 
5,0,Many factories have moved to developing countries.
5,1,Higher Education: Disadvantages
5,0,A healthy economy needs a wide range of workers. 
5,0,Some manual workers will always be needed. 
5,0,A university degree is not necessary for many service professions. 
5,0,Practical training is more important in some industries.
5,1,Advantages of Home-Schooling
5,0,Some parents decide to educate their children at home. 
5,0,Some families live in isolated areas with poor transport. 
5,0,Other parents are not satisfied with local schools. 
5,0,Parents can respond to what their children need and how they learn best. 
5,0,One-to-one lessons allow much faster progress. 
5,0,The child can work at his or her own pace. 
5,0,Discipline problems are avoided by home-schooling.
5,1,Disadvantages of Home-Schooling
5,0,Most parents do not have the time to educate their children at home. 
5,0,One parent would need to give up work. 
5,0,School subjects are normally taught by up to ten different teachers. 
5,0,Most parents do not have the necessary knowledge or resources. 
5,0,Private tutors are expensive. 
5,0,Children will miss out on the social experience that school offers. 
5,0,"At school, children learn how to get on with each other. "
5,0,Home-schooled children may lack social skills. 
5,0,Schools offer a better overall educational experience.
5,1,Bad Behaviour in Schools: Causes
5,0,Bad behaviour is due to a lack of structure and discipline. 
5,0,There are too many children in some classes. Large classes are difficult to manage. 
5,0,Many disruptive students come from an unstable family background. 
5,0,Other parents are too lenient and spoil their children. 
5,0,Some children are used to getting whatever they want. 
5,0,Schools can do very little if they are not supported by parents.
5,1,Bad Behaviour in Schools: Solutions
5,0,Schools need a clear code of conduct. 
5,0,Schools need a clear set of rules about behaviour. 
5,0,They need to create a positive working atmosphere. 
5,0,Teachers must have the power to punish disruptive students. 
5,0,Schools should remove difficult children from lessons. 
5,0,Schools need to work closely with parents. 
5,0,Discipline could be lacking at home. 
5,0,Parents must support the school rules. 
5,0,They should take responsibility for their children’s behaviour.
5,1,Corporal Punishment: Opinion
5,0,Corporal Punishment is not a good idea. 
5,0,Physical punishment is a way of controlling children using fear. 
5,0,This does not promote trust between adults and children. 
5,0,Children who are punished physically may become shy or resentful. 
5,0,Corporal punishment creates an atmosphere of fear and anger.
5,1,Single Sex Education: Advantages
5,0,Some people believe that male and female students should go to separate schools. 
5,0,This is often for religious or cultural reasons. 
5,0,Discipline problems might be avoided by separating boys and girls. 
5,0,Boys and girls may learn in different ways and have different needs. 
5,0,Students at single-sex schools often get better exam grades.
5,1,Single-Sex Education: Disadvantages
5,0,Separating boys and girls is unnecessary. 
5,0,It is unhealthy in terms of children’s social development. 
5,0,Many coeducational schools are extremely successful. 
5,0,A mixed-sex environment is more representative of real life. 
5,0,Coeducational schools provide children with better social skills for adult life.
5,1,Advantages of Streaming (grouping children according to ability)
5,0,Some schools separate students according to their academic ability. 
5,0,Teachers can work at the right speed for their students. 
5,0,Teachers can plan more suitable lessons. High-level groups may progress faster. 
5,0,Lower level groups can benefit from a slower pace. 
5,0,Some teachers and parents support streaming for these reasons.
5,1,Disadvantages of Streaming
5,0,Grouping by ability may have a negative impact on students. 
5,0,Children do not want to be seen as less intelligent than others. 
5,0,Streaming could damage students’ self-esteem. 
5,0,They may lose motivation. 
5,0,Students from wealthier families tend to be better prepared. 
5,0,Children from poorer families may receive less support from parents. 
5,0,Mixed ability classes encourage everyone to achieve their potential.
6,1,Global Warming
6,0,Gases such as carbon dioxide trap heat from the sun. 
6,0,This causes global temperatures to rise. 
6,0,This process is known as the greenhouse effect. 
6,0,Human activity is a major factor in the rise of the greenhouse gases. 
6,0,Factories and vehicles produce emissions and exhaust fumes. 
6,0,Many developing countries are becoming industrialised. 
6,0,The number of cars on our streets is growing. 
6,0,Cheap air travel is allowing more people to fly.
6,1,Effects of Global Warming
6,0,Global warming will have a significant impact on our planet. 
6,0,Rising temperatures will cause melting of the polar ice caps. 
6,0,Sea levels will rise. 
6,0,We can expect more extreme weather conditions. 
6,0,Flooding and droughts may become more common.
6,1,Impact of Humans on the Environment
6,0,The increasing world population is putting pressure on natural resources. 
6,0,Fossil fuels like oil and gas are running out. 
6,0,We are destroying wildlife habitats. 
6,0,We have cut down enormous areas of rainforest. 
6,0,This has led to the extinction of many species of animals and plants.
6,1,Solutions to Environment Problems
6,0,Governments could introduce laws to limit emissions from factories. 
6,0,"They should invest in renewable energy from solar, wind or water power. "
6,0,They could impose “green taxes” on drivers and airline companies. 
6,0,Government campaigns should promote recycling. 
6,0,Natural areas and wild animals should be protected. 
6,0,Individuals should also try to be greener. 
6,0,We should take fewer flights abroad for holidays. 
6,0,We should take public transport rather than driving. 
6,0,We should choose products with less packaging. 
6,0,We should recycle as much as possible.
6,1,Waste / Rubbish
6,0,The amount of waste we produce has increased. 
6,0,This problem is a result of our consumer culture. 
6,0,Products are not made to last. 
6,0,"If something breaks, we throw it away and buy a new one. "
6,0,Advertisers encourage us to buy the newest fashions. 
6,0,Packaging is an important part of selling. 
6,0,Most foods are sold in non-biodegradable plastic packaging. 
6,0,The amount of household waste is growing. 
6,0,This waste ends up in landfill sites.
6,1,Litter 
6,0,People do not think about the consequences of dropping rubbish. 
6,0,They assume that somebody is paid to clean the streets. 
6,0,Plastic packaging does not break down easily. 
6,0,Most of the litter seen on streets is fast food packaging.
6,1,Recycling and Other Solutions
6,0,Companies should make goods that last longer. 
6,0,They should not use so much packaging. 
6,0,Governments should be stricter about waste produced by companies. 
6,0,They should put legal limits on packaging. 
6,0,Consumers should avoid buying over-packaged products. 
6,0,We should recycle and reuse useful materials. 
6,0,"There are collection banks for glass, paper and plastic bottles. "
6,0,Households can use several rubbish bins to separate waste. Recycling saves energy and raw materials.
6,1,Nuclear Power: Positives
6,0,There are several benefits to building more nuclear power stations. 
6,0,Fossil fuels like oil and gas are running out. 
6,0,Nuclear power is a relatively sustainable energy source. 
6,0,It can be used to produce electricity without wasting natural resources. 
6,0,"It could replace the use of natural resources like coal, oil or gas. "
6,0,Nuclear power stations are cleaner than fossil fuel power stations. 
6,0,They could help to reduce carbon emissions that cause global warming. 
6,0,The risks of accidents are being reduced.
6,1,Nuclear Power: Negatives
6,0,Opponents of nuclear power worry about the safety of power stations. 
6,0,The building of new nuclear power stations is unpopular. 
6,0,Nobody wants to live near one. 
6,0,Nuclear waste disposal is a significant problem. 
6,0,There is currently no way to decontaminate radioactive material. 
6,0,People worry that terrorists could steal radioactive materials. 
6,0,"It is safer to produce energy from solar, wind or water power."
7,1,Family Size
7,0,Families in many countries are not as large as they used to be. 
7,0,We tend to live in small nuclear families rather than large extended families. 
7,0,Parents tend to have fewer children. 
7,0,Young children are no longer expected to work. 
7,0,Nowadays both parents often work. 
7,0,It costs so much to bring children up. 
7,0,It is more difficult to raise a large family.
7,1,Working Parents (also see “Gender” topic)
7,0,Children and their parents seem to be less close nowadays. 
7,0,Parents spend less time with their children. 
7,0,"Women traditionally stayed at home to cook, clean and look after children. "
7,0,Nowadays both parents often work full time. 
7,0,"Children may be left alone, or with nannies or babysitters. "
7,0,Busy parents have less contact with their children. 
7,0,Many families no longer eat meals together. 
7,0,Children spend more time with friends or surfing the Internet.
7,1,Negative Effects on Children
7,0,The lack of closeness in families can have a negative effect on children. 
7,0,Many parents have no idea how their children spend their time. 
7,0,"Friends, television and the Internet become the main influences on children’s behaviour. "
7,0,Teenagers are influenced by peer pressure. 
7,0,Some of them join gangs. 
7,0,Juvenile delinquency is on the increase. 
7,0,Parents should be more involved with their children’s upbringing. 
7,0,Young people need positive role models.
7,1,Divorce
7,0,"In the past, divorce was unacceptable. "
7,0,It was considered to be embarrassing for a family. 
7,0,People stayed together for religious or family reasons. 
7,0,Divorce is more socially acceptable nowadays.
7,0,It has become much more common. 
7,0,Divorce can be extremely stressful. 
7,0,Lone parents may face financial difficulties. 
7,0,Many single parents have to rely on benefits paid by the state. 
7,0,Divorce can have a negative effect on children. 
7,0,Children from single-parent families are more likely to get lower grades or drop out of school. 
7,0,The rise in divorce rates may be connected to some social problems.
7,1,Care for Old People
7,0,Caring for elderly people was traditionally the responsibility of families. 
7,0,Adults had to look after their elderly parents. 
7,0,A woman’s job was to stay at home taking care of her family. 
7,0,"Nowadays, fewer elderly people are looked after by their relatives. "
7,0,Residential homes provide care for large numbers of elderly people. 
7,0,Some families are unable to look after elderly relatives. 
7,0,"Families tend to be smaller these days, and women often have full-time jobs. "
7,0,Care homes provide a professional service for senior citizens. 
7,0,Nurses are better trained than family members.
7,1,Care for Old People: Opinion
7,0,The best form of care for the elderly depends on the family situation. 
7,0,It depends on whether family members have the time and resources. 
7,0,We all have a responsibility towards the older people in our society. 
7,0,Governments should invest money in facilities and training for care workers.
8,1,Gender and Education
8,0,Men and women should have access to the same educational opportunities. 
8,0,Males and females should be accepted onto courses according to their abilities. 
8,0,It is wrong to discriminate against students because of their gender. 
8,0,Gender should be irrelevant in education. 
8,0,Students’ achievements should depend on hard work and individual merit. 
8,0,"In the UK, there are similar numbers of male and female students in higher education."
8,1,Gender and Work
8,0,Men and women should have access to the same professional opportunities. 
8,0,Both men and women should be able to pursue a career. 
8,0,They should earn equal salaries. 
8,0,"They should be employed according to their abilities, qualifications and experience. "
8,0,"Traditionally, women have been restricted to certain roles. "
8,0,They were often employed as secretaries or receptionists. 
8,0,"Nowadays, a range of occupations is available to both sexes. "
8,0,Career success depends on individual merit.
8,1,Women’s and Men’s Role in the Family
8,0,"Some people argue that a mother should not work, she should stay at home and bring up her children. "
8,0,The father should be the breadwinner of the family. 
8,0,Others believe that both parents should share these responsibilities. 
8,0,Working women can take maternity leave during and after pregnancy. 
8,0,Many mothers continue to work after this period. 
8,0,Many fathers and mothers share their parenting and domestic responsibilities. 
8,0,"They contribute equally to childcare, cooking and cleaning. "
8,0,Some women may have better career prospects than their husbands. 
8,0,Paternity leave and “househusbands” are becoming more common. 
8,0,Traditional gender roles are gradually changing. 
8,0,Families can divide roles and responsibilities in the most convenient way.
9,1,Positives of Genetic Engineering
9,0,Genetic engineering is the practice of manipulating the genes of an organism. 
9,0,It is used to produce crops that are more resistant to insects and diseases. 
9,0,Some genetically modified crops grow more quickly. 
9,0,Some drugs and vaccines are produced by genetic engineering. 
9,0,It may become possible to change humans’ genetic characteristics. 
9,0,Scientists may use genetic engineering to cure diseases. Inherited illnesses would no longer exist. 
9,0,Genes could be changed before a baby is born. 
9,0,It could also be possible to clone human organs. 
9,0,We could all have replacement body parts. 
9,0,"Humans could live longer, healthier lives."
9,1,Negatives of Genetic Engineering
9,0,There are ethical concerns about human genetic engineering. 
9,0,Parents might want to choose their children’s characteristics. This would be unnatural. 
9,0,It would be unacceptable in most religions. 
9,0,Soldiers could be cloned from the genes of the strongest people. 
9,0,Clones might be used like robots to do certain jobs.
9,0,Clones might even be developed just for organ replacements. 
9,0,Society and human evolution would change completely. 
9,0,"Currently, human genetic engineering is prohibited."
9,1,Genetically-Modified (GM) Foods: Advantages
9,0,Farmers can produce crops that grow bigger and faster. 
9,0,Some GM crops are more resistant to disease or insects. 
9,0,This could be important for food production in developing countries. 
9,0,"Faster growing cereals, fruit and vegetables will mean more profit."
9,0,GM foods can be modified to look perfect. They may be more attractive to customers.
9,1,Genetically-Modified (GM) Foods: Disadvantages
9,0,There may be risks involved in the genetic engineering of foods.
9,0,GM crops might change whole ecosystems. 
9,0,Food chains could be broken if crops are resistant to predators. 
9,0,Organic foods are produced without chemicals or genetic modification. 
9,0,"Organic farming may be slower and more expensive. However, the environment is not damaged by fertilisers or pesticides."
10,1,Problems in Developing Countries
10,0,Developing countries face a range of problems. 
10,0,Standards of healthcare and education are low. 
10,0,Life expectancy is usually lower than in developed countries. 
10,0,"There is a lack of infrastructure, employment and good quality housing. "
10,0,Many people are forced to live in poverty. 
10,0,"Food, drinking water and basic medicines are in short supply."
10,1,How to Help Developing Countries
10,0,The best form of help for developing countries is development aid. 
10,0,Richer nations can help by investing in long-term projects. 
10,0,Governments and charities can help by building new houses and schools. 
10,0,Globalisation may also help developing countries. 
10,0,Multi-national companies are creating jobs in developing countries. 
10,0,"On the other hand, many people emigrate to find work in richer countries. "
10,0,They often send money back home to their families. 
10,0,This money helps to improve the standard of living in developing countries.
10,1,Immigration
10,0,Some people move to another country in search of a better life. 
10,0,Many immigrants come from less developed countries. 
10,0,"Richer, industrialised countries may offer opportunities for employment. "
10,0,Free healthcare and schooling are available in some developed countries. 
10,0,Other people migrate to a foreign country to improve their academic qualifications.
10,1,Positives of Immigration and Multi-Cultural Societies
10,0,"From an economic perspective, immigration can be extremely positive. "
10,0,Many immigrants have skills that are needed in the country they move to. 
10,0,Immigrants who find work contribute to the economy of their new country. 
10,0,Many immigrants send money home to help family members. 
10,0,Immigration also creates cultural diversity. 
10,0,People of many different nationalities learn to live together. 
10,0,This can help people to become more open-minded and tolerant.
10,1,Negatives of Immigration
10,0,Some people believe that immigrants take jobs that should go to local people. 
10,0,Some immigrant workers work longer hours for less money. 
10,0,Companies might pay lower salaries to immigrant workers. 
10,0,Unemployment rates could rise if there are too many immigrants.
10,1,Opinions about Immigration
10,0,Immigration can help the economy of a country.
10,0,"It can create multi-cultural societies. However, immigration needs to be controlled. "
10,0,"In many countries, immigrants need visas or work permits. "
10,0,Governments should stop companies from exploiting immigrant workers. 
10,0,Foreign and local workers should have the right to equal pay and conditions.
10,1,Positives of Globalisation
10,0,Business is becoming increasingly international. 
10,0,Multi-national companies do business across the world. 
10,0,Companies like MacDonald’s can be seen on high streets in most cities. 
10,0,Goods are produced in one country and sold in many others.
10,0,A global economy means free trade between countries. 
10,0,This can strengthen political relationships. 
10,0,Globalisation can also create opportunities for employment. 
10,0,It encourages investment in less developed countries. 
10,0,It could reduce poverty in the developing world.
10,1,Negatives of Globalisation
10,0,Globalisation is not always beneficial to everyone. 
10,0,Companies can move to countries where labour is cheap. 
10,0,"This creates redundancies, or job losses. "
10,0,Employees cannot be confident that they have stable jobs. 
10,0,Companies sometimes exploit their employees in developing countries. 
10,0,Global trade creates more waste and pollution.
10,1,The Future of Globalisation
10,0,There should be global regulations for salaries and working conditions. 
10,0,Governments should impose laws to protect the environment.
11,1,What governments can do
11,0,Governments provide public services like healthcare and education. 
11,0,They support people who are living in poverty or unable to work.
11,0,Governments raise money by taxing working people. 
11,0,They can spend money on resources and campaigns. 
11,0,They can introduce new laws. 
11,0,They can impose taxes. 
11,0,They can raise people’s awareness of issues (e.g. climate change/healthy eating).
11,0,They can influence people’s habits and opinions. 
11,0,They can create jobs. 
11,0,They can regulate the activities of companies such as banks. 
11,0,They can provide resources for schools. 
11,0,They are also responsible for the security and well-being of their citizens. 
11,0,They control armed forces and police forces.
11,1,Public Services
11,0,Governments pay the salaries of public sector workers like police officers and teachers. 
11,0,The necessary money is raised by taxing people’s income. 
11,0,Free education and healthcare may be provided by the state. 
11,0,Some governments control public transport systems and even TV channels. 
11,0,"In other countries, these services are provided by private companies. "
11,0,Some people believe that competition between private companies is good. 
11,0,It helps to improve quality while bringing prices down. 
11,0,Other people think that essential services should be free. Governments should pay for them.
11,1,Censorship: Opinion
11,0,Governments can censor what the public sees or reads in the media.
11,0,To a certain extent censorship is necessary. 
11,0,We should use censorship to protect children from violent images. 
11,0,Some computer games involve killing people or committing crimes. 
11,0,The Internet also needs to be controlled. 
11,0,Many websites show pornography and violence. 
11,0,There should be age limits for websites and computer games. 
11,0,Parents need to take responsibility for checking what their children watch. 
11,0,It is impossible for governments to control everything we see.
11,1,Video Cameras in Public Places
11,0,The use of CCTV is becoming widespread. Video cameras have been installed in many public places. 
11,0,They are supposed to protect us and deter criminals. 
11,0,Many people think that this surveillance violates our privacy. 
11,0,The authorities could build databases with our pictures and identities. 
11,0,We should not be treated like criminals.
11,1,Smart Cards: Positives
11,0,Governments will probably introduce a digital identification card system. 
11,0,Smart cards will have benefits and drawbacks. 
11,0,They could help to reduce crime. 
11,0,"They could hold personal information, such as DNA. "
11,0,Digital bank cards could contain fingerprint information. 
11,0,It would be very difficult for criminals to use a stolen card. 
11,0,It would be easier for police to identify people and catch criminals.
11,1,Smart Cards: Negatives
11,0,Many people are worried about losing their privacy. 
11,0,Governments could store all our personal and medical information. 
11,0,This information could be used by insurance companies. 
11,0,Employers could check our health records.
11,1,People with Disabilities
11,0,People with disabilities should be treated the same as everybody else. 
11,0,They should have the same rights as other people. 
11,0,They should have access to the same jobs as other citizens. 
11,0,Discrimination against disabled people is illegal in many countries. 
11,0,Ramps and lifts for wheelchairs should be installed in public buildings. 
11,0,Support teachers can be employed to help children with learning difficulties.
12,1,Why guns should be legal:
12,0,"In some countries, people are allowed to own firearms. "
12,0,Individuals have the right to protect themselves. 
12,0,People can use guns in self-defence. This deters criminals.
12,1,Why gun ownership should be illegal:
12,0,There is a risk of accidents with guns. 
12,0,The number of violent crimes increases when guns are available. 
12,0,Criminals may be armed. The police then need to use guns. 
12,0,Suicide rates have been shown to rise when guns are available. 
12,0,Guns create violent societies with high murder rates.
12,1,Why police should use guns:
12,0,Many criminals use weapons. 
12,0,The threat of a gun can deter criminals. 
12,0,Police officers can force a criminal to surrender. 
12,0,It is easier to arrest someone and avoid physical violence. 
12,0,The police may shoot violent criminals in self-defence. 
12,0,They can protect the public. 
12,0,They can shoot an escaping criminal who poses a serious danger to the public.
12,1,Why police should not carry guns:
12,0,There is a risk of accidents and mistakes. 
12,0,The police might shoot an unarmed criminal or an innocent person. 
12,0,Accidents can happen in public places. 
12,0,"There are several alternatives to guns (e.g. tear gas, sprays and electric shock weapons)."
12,0,Only special police units should use guns.
12,1,Arms Trade: Positives
12,0,"The export of arms, or weapons, is an extremely controversial issue. "
12,0,"Governments of rich, industrialised countries sell arms to each other. "
12,0,This industry creates jobs and wealth. 
12,0,The trade of weapons may improve relationships between governments.
12,1,Arms Trade: Negatives
12,0,Weapons may be used in conflicts and wars. 
12,0,The supply of arms could be responsible for deaths.
12,0,Governments are promoting war in order to make a profit. 
12,0,Rich countries can influence the politics of other nations.
12,1,Nuclear Weapons
12,0,Nuclear weapons are capable of destroying whole cities. 
12,0,A nuclear war between two countries would destroy both countries. 
12,0,Nuclear weapons are used as a deterrent. They prevent wars from starting.
12,1,Nuclear Weapons: Opinion
12,0,Nuclear weapons should be prohibited. 
12,0,Governments should limit the production of nuclear weapons.
12,0,There is a danger of nuclear weapons being obtained by terrorists. 
12,0,Nuclear weapons cannot be used against terrorist organisations.
12,1,Armed Forces: Positives
12,0, Armed forces provide security and protection. 
12,0,They deter military attack by another country. 
12,0,They can also be used to maintain peace within countries. 
12,0,They can be used to give the police extra support. 
12,0,"Soldiers are also used to help in emergency situations, such as after a natural disaster."
12,1,Armed Forces: Negatives
12,0,Armies require a lot of funding from governments. 
12,0,Too much money is spent on weapons and military technology. 
12,0,"This money could be spent on schools, hospitals and other public services."
13,1,Diet
13,0,The human body requires a balanced diet. 
13,0,An unhealthy diet can cause various health problems. 
13,0,"Obesity, diabetes and heart disease are on the increase. "
13,0,Many people nowadays rely on fast food or pre-prepared meals. 
13,0,"These foods often contain too much fat, salt and sugar. "
13,0,They are cheap to buy and very easy to prepare. 
13,0,Many young people have grown up on a diet of convenience foods. 
13,0,Populations in developed countries are increasingly overweight.
13,1,Exercise
13,0,Regular exercise is essential in maintaining a healthy body. 
13,0,Exercise burns calories and helps to build healthy bones and muscles.
13,0,Doctors advise exercising at least three times a week for 20 minutes. 
13,0,Most people nowadays lead a sedentary lifestyle. 
13,0,We tend to walk less and do desk jobs. 
13,0,Most adults relax by watching television. 
13,0,Children play video games rather than doing outdoor sports. 
13,0,"In the past, people were more active in their jobs and at home."
13,1,Governments’ Role
13,0,Governments have a significant role to play in reducing obesity. 
13,0,"More and more people, including young children, are seriously overweight. "
13,0,They are at risk of heart disease and diabetes. 
13,0,This situation will increase the burden on hospitals and taxpayers. 
13,0,Hospitals rely on the government for money and resources. 
13,0,Governments should promote a healthy diet and regular exercise.
13,0,There should be more time for sport on school timetables. 
13,0,Unhealthy junk food should be banned from school menus. 
13,0,People need information about what foods contain. 
13,0,Food packaging must show the food’s nutritional content. 
13,0,The British Government recommends eating five portions of fruit and vegetables per day.
13,1,State Health Systems: Advantages
13,0,Good healthcare should be available to everyone for free. 
13,0,State healthcare is paid by the government using money from taxes. 
